Hotel_ID,Hotel_Name,Raw_Hotel_Name,Location,City,State,Landmark,Address
114825,OYO Townhouse 504 by My Stay,OYO Townhouse 504 by My Stay,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
114832,Capital O Sillery Gaon,Capital O Sillery Gaon,Sillery-Gaon,Sillery-Gaon,West Bengal,,"Sillery-Gaon, West Bengal"
114879,Flagship Jeyam Residency,Flagship Jeyam Residency,Chennai,Chennai,Tamil Nadu,,"Chennai, Tamil Nadu"
114890,Flagship Hotel Royal Rooms,Flagship Hotel Royal Rooms,Faridabad,Faridabad,Haryana,,"Faridabad, Haryana"
114894,OYO Kavyainn,OYO Kavyainn,Pushkar,Pushkar,Rajasthan,,"Pushkar, Rajasthan"
114900,OYO Flagship Hotel The Skyland,OYO Flagship Hotel The Skyland,Ghaziabad,Ghaziabad,Uttar Pradesh,,"Ghaziabad, Uttar Pradesh"
114905,Flagship Live Inn Guest House,Flagship Live Inn Guest House,Visakhapatnam,Visakhapatnam,Andhra Pradesh,,"Visakhapatnam, Andhra Pradesh"
114912,OYO Townhouse 691 Hotel Sulit,OYO Townhouse 691 Hotel Sulit,Agra,Agra,Uttar Pradesh,,"Agra, Uttar Pradesh"
114916,OYO Radhe Hotel,OYO Radhe Hotel,Bhiwadi,Bhiwadi,Rajasthan,,"Bhiwadi, Rajasthan"
114918,OYO Hotel Alfa,OYO Hotel Alfa,Una,Una,Himachal Pradesh,,"Una, Himachal Pradesh"
114922,Flagship Alora Inn,Flagship Alora Inn,Bhilai,Bhilai,Chhattisgarh,,"Bhilai, Chhattisgarh"
114923,Collection O Gp Hotel,Collection O Gp Hotel,Chandigarh,Chandigarh,Chandigarh,,Chandigarh
114924,Super OYO Flagship Kalsia Home Stay,Super OYO Flagship Kalsia Home Stay,Mussoorie,Mussoorie,Uttarakhand,,"Mussoorie, Uttarakhand"
114945,SPOT ON Stacy Guest House,SPOT ON Stacy Guest House,Jind,Jind,Haryana,,"Jind, Haryana"
114950,Flagship Abut Guest House,Flagship Abut Guest House,Ghaziabad,Ghaziabad,Uttar Pradesh,,"Ghaziabad, Uttar Pradesh"
114984,OYO Townhouse 82843 Hotel Somani,OYO Townhouse 82843 Hotel Somani,Mumbai,Mumbai,Maharashtra,,"Mumbai, Maharashtra"
114985,SPOT ON Hotel The Blue Moon,SPOT ON Hotel The Blue Moon,Raipur,Raipur,Chhattisgarh,,"Raipur, Chhattisgarh"
114992,Super OYO Collection O Shubham Residency,Super OYO Collection O Shubham Residency Near Botanic Garden of Indian Republic,Noida,Noida,Uttar Pradesh,Near Botanic Garden of Indian Republic,"Near Botanic Garden of Indian Republic, Noida, Uttar Pradesh"
115031,Super OYO Collection O 82887 Hotel Star Inn,Super OYO Collection O 82887 Hotel Star Inn,Karnal,Karnal,Haryana,,"Karnal, Haryana"
115046,OYO Royals Rana Hotel,OYO Royals Rana Hotel,Meerut,Meerut,Uttar Pradesh,,"Meerut, Uttar Pradesh"
115056,Capital O 82908 Khushi Villa,Capital O 82908 Khushi Villa,Mahabaleshwar,Mahabaleshwar,Maharashtra,,"Mahabaleshwar, Maharashtra"
115071,Collection O Hotel Verena,Collection O Hotel Verena,Indore,Indore,Madhya Pradesh,,"Indore, Madhya Pradesh"
115074,Collection O 82926 Hotel Royal Plaza,Collection O 82926 Hotel Royal Plaza,Ahmedabad,Ahmedabad,Gujarat,,"Ahmedabad, Gujarat"
115086,Hotel The Park,Hotel The Park,Faridabad,Faridabad,Haryana,,"Faridabad, Haryana"
115088,Super OYO Townhouse OAK Elite Oakland,Super OYO Townhouse OAK Elite Oakland,Manesar,Manesar,Haryana,,"Manesar, Haryana"
115107,Flagship Hotel Yadgar,Flagship Hotel Yadgar,Shimla,Shimla,Himachal Pradesh,,"Shimla, Himachal Pradesh"
115112,Capital O Hotel K Star,Capital O Hotel K Star,Ludhiana,Ludhiana,Punjab,,"Ludhiana, Punjab"
115134,Collection O Reeva Regency,Collection O Reeva Regency,Shirdi,Shirdi,Maharashtra,,"Shirdi, Maharashtra"
115197,Super OYO Flagship 83042 Skywind,Super OYO Flagship 83042 Skywind,Trivandrum,Trivandrum,Kerala,,"Trivandrum, Kerala"
115215,OYO Townhouse 611 Anna Nagar Welcome Inn,OYO Townhouse 611 Anna Nagar Welcome Inn Near Thirumangalam Metro Station,Chennai,Chennai,Tamil Nadu,Near Thirumangalam Metro Station,"Near Thirumangalam Metro Station, Chennai, Tamil Nadu"
115230,Flagship Hotel Rudra Palace,Flagship Hotel Rudra Palace,Ahmedabad,Ahmedabad,Gujarat,,"Ahmedabad, Gujarat"
115233,Collection O Hotel Pal Avadh,Collection O Hotel Pal Avadh,Lucknow,Lucknow,Uttar Pradesh,,"Lucknow, Uttar Pradesh"
115254,Flagship Hotel Raj Pacific,Flagship Hotel Raj Pacific,Ghaziabad,Ghaziabad,Uttar Pradesh,,"Ghaziabad, Uttar Pradesh"
115275,Flagship Hotel Shimla View,Flagship Hotel Shimla View,Shimla,Shimla,Himachal Pradesh,,"Shimla, Himachal Pradesh"
115279,OYO Unique Gaust House,OYO Unique Gaust House,Bhiwani,Bhiwani,Haryana,,"Bhiwani, Haryana"
115301,OYO Townhouse 575 Hotel Rushank Inn,OYO Townhouse 575 Hotel Rushank Inn,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
115302,SPOT ON 83131 Saini Property,SPOT ON 83131 Saini Property,Narnaul,Narnaul,Haryana,,"Narnaul, Haryana"
115330,SPOT ON Hotel Morning Star Inn,SPOT ON Hotel Morning Star Inn,Bhilai,Bhilai,Chhattisgarh,,"Bhilai, Chhattisgarh"
115344,Flagship The Golden Visakha Guest House,Flagship The Golden Visakha Guest House,Visakhapatnam,Visakhapatnam,Andhra Pradesh,,"Visakhapatnam, Andhra Pradesh"
115363,SPOT ON Paras Ratna,SPOT ON Paras Ratna,Moradabad,Moradabad,Uttar Pradesh,,"Moradabad, Uttar Pradesh"
115389,Flagship Destiny Living,Flagship Destiny Living,Pune,Pune,Maharashtra,,"Pune, Maharashtra"
115417,Collection O Hotel Shri Ganesh,Collection O Hotel Shri Ganesh,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
115428,Flagship Ekora Resort,Flagship Ekora Resort,Kaziranga,Kaziranga,Assam,,"Kaziranga, Assam"
115440,OYO Townhouse 595 Majestic Inn,OYO Townhouse 595 Majestic Inn,Kochi,Kochi,Kerala,,"Kochi, Kerala"
115532,Super OYO Sahu Room's,Super OYO Sahu Room's,Ayodhya,Ayodhya,Uttar Pradesh,,"Ayodhya, Uttar Pradesh"
115537,OYO Khard Palace,OYO Khard Palace,Jhansi,Jhansi,Uttar Pradesh,,"Jhansi, Uttar Pradesh"
115541,Super OYO Chaudhary Hotel,Super OYO Chaudhary Hotel,Bawal,Bawal,Haryana,,"Bawal, Haryana"
152721,OYO Hotel Sna Grand,OYO Hotel Sna Grand Near Sudarshan Cinema,Lucknow,Lucknow,Uttar Pradesh,Near Sudarshan Cinema,"Near Sudarshan Cinema, Lucknow, Uttar Pradesh"
155723,OYO Townhouse 83397 Jagatpura & Pratapnagar,OYO Townhouse 83397 Jagatpura & Pratapnagar,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
